EventNumber,EventName,RandomSeed,EventWeight,Primary [Type],Energy [GeV],Zenith [Deg],"Azimuth [Deg, Geomagnetic]",Model
20,Xi_Sib_Proton_2.74_81.0_166.4_20,0.0021729317,1,Proton,2.7350223635372153,80.95393142482462,166.41309039943062,Sib
21,Xi_Sib_Iron_0.329_66.3_36.17_21,0.5598835563,1,Iron,0.3294038073058788,66.34310432057144,36.16907335519306,Sib
22,Xi_Sib_Proton_2.99_68.2_249.9_22,0.1992804741,1,Proton,2.989985928342877,68.17016153880404,249.90637427032772,Sib
23,Xi_Sib_Iron_1.23_60.0_252.5_23,0.9144267737,1,Iron,1.232139908647622,60.046328370945865,252.49282020815662,Sib
24,Xi_Sib_Proton_0.075_86.1_318.4_24,0.3874610506,1,Proton,0.07501660233992793,86.08623220296012,318.38091625825314,Sib
25,Xi_Sib_Iron_0.0635_72.0_90.79_25,0.2209248689,1,Iron,0.06354026245926024,72.04980149031097,90.78582737758083,Sib
26,Xi_Sib_Proton_0.0532_69.8_127.9_26,0.3952656263,1,Proton,0.05320212324117905,69.75363795529486,127.91493260182618,Sib
27,Xi_Sib_Iron_2.35_50.6_47.49_27,0.9183114769,1,Iron,2.3520570398508496,50.55175376728112,47.488462708803226,Sib
28,Xi_Sib_Proton_1.43_81.6_243.4_28,0.8478397572,1,Proton,1.4269560395290073,81.57870374290411,243.35939762133498,Sib
29,Xi_Sib_Iron_0.132_85.2_67.32_29,0.7702964751,1,Iron,0.13183695353007832,85.16873745344529,67.31506093951919,Sib
30,Xi_Sib_Proton_0.0388_83.4_231.1_30,0.7694879799,1,Proton,0.03882961212089783,83.37280667801687,231.0910659552836,Sib
31,Xi_Sib_Iron_0.16_87.0_9.729_31,0.5006157647,1,Iron,0.16021116919230957,86.98973692681032,9.728922837393682,Sib
32,Xi_Sib_Proton_1.66_81.3_70.52_32,0.9951372393,1,Proton,1.6571580662249306,81.28349731864542,70.5226733318219,Sib
33,Xi_Sib_Iron_0.0469_84.7_133.4_33,0.7693369952,1,Iron,0.046875598165817295,84.661772260915,133.38514155417099,Sib
34,Xi_Sib_Proton_0.595_68.9_145.0_34,0.8425695484,1,Proton,0.5950883768544805,68.86628299430681,144.9735114827488,Sib
35,Xi_Sib_Iron_0.11_81.3_66.72_35,0.2088284229,1,Iron,0.11023994474950931,81.33796378601421,66.72367401571422,Sib
36,Xi_Sib_Proton_0.0489_87.0_317.7_36,0.7868799410,1,Proton,0.04892903723506585,87.03678363095074,317.7366614875584,Sib
37,Xi_Sib_Iron_0.488_71.1_204.6_37,0.3863183618,1,Iron,0.48818842489053693,71.06256511104807,204.6476216561802,Sib
38,Xi_Sib_Proton_0.0411_74.4_270.7_38,0.2500779267,1,Proton,0.0411371377242136,74.42937336789596,270.71662157921736,Sib
39,Xi_Sib_Iron_0.0524_81.2_19.81_39,0.7065272221,1,Iron,0.05241244807678609,81.1932266359576,19.80910875310384,Sib
40,Xi_Sib_Proton_0.0318_86.0_305.3_40,0.0908534488,1,Proton,0.031813850808603786,86.03780004106011,305.2746372652631,Sib
41,Xi_Sib_Iron_0.0503_85.3_206.7_41,0.0160738729,1,Iron,0.050272816017915826,85.3296463082801,206.68738560420945,Sib
42,Xi_Sib_Proton_0.76_78.2_108.8_42,0.2319881404,1,Proton,0.7604800336073282,78.23334024857243,108.75385984833065,Sib
43,Xi_Sib_Iron_0.128_51.4_167.2_43,0.3095456190,1,Iron,0.12752701060298682,51.397871126412745,167.23870209976266,Sib
44,Xi_Sib_Proton_0.171_86.8_126.3_44,0.5817784415,1,Proton,0.17095587844820323,86.78950153030168,126.32392358510114,Sib
45,Xi_Sib_Iron_3.28_75.7_344.5_45,0.0879306689,1,Iron,3.2780166696776485,75.72706052201256,344.4516506310685,Sib
46,Xi_Sib_Proton_0.0332_57.2_165.6_46,0.7426668006,1,Proton,0.03316152971161184,57.163295632079624,165.62415936256969,Sib
47,Xi_Sib_Iron_0.705_87.3_290.8_47,0.8435246653,1,Iron,0.704557595189289,87.33587317645745,290.7786646774741,Sib
48,Xi_Sib_Proton_0.0539_63.6_184.6_48,0.8505678333,1,Proton,0.05394604146099772,63.622247634857764,184.6413597996568,Sib
49,Xi_Sib_Iron_0.0325_84.4_324.9_49,0.6854162650,1,Iron,0.0325307380716336,84.40772878538795,324.9280581406491,Sib
50,Xi_Sib_Proton_0.0749_81.9_262.4_50,0.0985344556,1,Proton,0.074878825192727,81.88460166464053,262.40622856771887,Sib
51,Xi_Sib_Iron_2.71_69.6_131.0_51,0.8047168260,1,Iron,2.7062918094634543,69.59001416964456,131.0342881260956,Sib
52,Xi_Sib_Proton_0.143_84.5_131.6_52,0.8393017952,1,Proton,0.1432412719173314,84.53066015352405,131.5629950637937,Sib
53,Xi_Sib_Iron_0.996_66.8_215.0_53,0.4238162827,1,Iron,0.9956956295591864,66.84140377289783,215.03364493524475,Sib
54,Xi_Sib_Proton_0.261_85.8_269.2_54,0.3511526342,1,Proton,0.26110343946962644,85.82413710559078,269.23340036070294,Sib
55,Xi_Sib_Iron_0.765_74.6_45.17_55,0.3035419790,1,Iron,0.764936073922773,74.61155894776648,45.16895048219869,Sib
56,Xi_Sib_Proton_0.0502_87.2_156.6_56,0.1170511441,1,Proton,0.05020990176680826,87.23497800297103,156.59710561590805,Sib
57,Xi_Sib_Iron_0.0371_87.4_186.1_57,0.6671204779,1,Iron,0.037111786622176124,87.35875196986841,186.08977720039024,Sib
58,Xi_Sib_Proton_0.156_87.2_283.5_58,0.6716851351,1,Proton,0.15565656586892535,87.15437465285929,283.46171710225224,Sib
59,Xi_Sib_Iron_0.0446_80.3_54.03_59,0.3229060112,1,Iron,0.044624261503816084,80.25315500043773,54.03274067405351,Sib
60,Xi_Sib_Proton_0.0353_82.7_36.61_60,0.8787086293,1,Proton,0.03531427020036968,82.68413169831285,36.60551603888898,Sib
61,Xi_Sib_Iron_3.39_73.3_142.5_61,0.0514051304,1,Iron,3.3906878019520343,73.31323645138501,142.49217950922284,Sib
62,Xi_Sib_Proton_1.48_79.4_110.1_62,0.3678310252,1,Proton,1.4843496637234137,79.41657146062751,110.13057877749455,Sib
63,Xi_Sib_Iron_0.236_86.8_87.98_63,0.7192498785,1,Iron,0.23554722471267284,86.77213692226488,87.97837191035461,Sib
64,Xi_Sib_Proton_0.135_80.1_180.6_64,0.2135955897,1,Proton,0.13480034272425534,80.10973425241284,180.5613694401225,Sib
65,Xi_Sib_Iron_0.22_86.2_305.7_65,0.4431417959,1,Iron,0.21995999372232555,86.20414607721295,305.73305033275716,Sib
66,Xi_Sib_Proton_2.63_86.5_109.4_66,0.8029405838,1,Proton,2.632964776762775,86.53651574537004,109.43566843555041,Sib
67,Xi_Sib_Iron_0.239_86.7_219.4_67,0.4405423943,1,Iron,0.2394282276107988,86.6706339201043,219.44333784313852,Sib
68,Xi_Sib_Proton_0.0589_87.4_291.9_68,0.4476871961,1,Proton,0.058887196040761675,87.37325729995155,291.8763519876304,Sib
69,Xi_Sib_Iron_0.349_64.4_29.64_69,0.1402619566,1,Iron,0.348712200765881,64.40477561592888,29.636128964342753,Sib
70,Xi_Sib_Proton_0.155_87.0_282.6_70,0.8376982777,1,Proton,0.15475843911680123,87.02015525746503,282.62436594352044,Sib
71,Xi_Sib_Iron_0.0727_82.6_122.3_71,0.5736415920,1,Iron,0.07271307618930987,82.59037962638173,122.25476971616987,Sib
72,Xi_Sib_Proton_1.82_86.2_353.0_72,0.0839362083,1,Proton,1.8242089108991013,86.24593625298361,352.9826711160368,Sib
73,Xi_Sib_Iron_0.745_85.7_133.4_73,0.8297207948,1,Iron,0.7452483667281777,85.7263031599185,133.44703248174255,Sib
74,Xi_Sib_Proton_0.0537_86.9_113.3_74,0.4021381181,1,Proton,0.05372200513847971,86.87544357897406,113.25096216874508,Sib
75,Xi_Sib_Iron_3.58_71.1_167.4_75,0.6841338172,1,Iron,3.579279278065876,71.0803085966992,167.4058625143613,Sib
76,Xi_Sib_Proton_0.295_81.4_137.0_76,0.7926484146,1,Proton,0.2948593401707326,81.42080319193559,136.95106498401393,Sib
77,Xi_Sib_Iron_0.229_80.2_226.2_77,0.5113806652,1,Iron,0.22947965519798008,80.15253373978122,226.2287551956758,Sib
78,Xi_Sib_Proton_0.27_79.5_3.305_78,0.4439781377,1,Proton,0.2699356362551556,79.46310382709085,3.304971486101387,Sib
79,Xi_Sib_Iron_0.0429_81.0_102.2_79,0.1368961204,1,Iron,0.04288783892692283,80.95954490172535,102.16465514717551,Sib
80,Xi_Sib_Proton_2.02_84.5_43.98_80,0.2269143763,1,Proton,2.0231851291722314,84.49196151801215,43.982033510978276,Sib
81,Xi_Sib_Iron_0.417_56.5_70.84_81,0.1176129015,1,Iron,0.4174111520964878,56.484930693659244,70.83687942673639,Sib
82,Xi_Sib_Proton_2.41_67.2_11.86_82,0.2157684542,1,Proton,2.411463137578197,67.18999834579385,11.858745562613592,Sib
83,Xi_Sib_Iron_1.28_86.6_65.67_83,0.4095249656,1,Iron,1.2826397793112898,86.63823192647823,65.67248145911587,Sib
84,Xi_Sib_Proton_0.839_85.7_256.9_84,0.2123614055,1,Proton,0.8386140544866747,85.74693314541001,256.90380333103604,Sib
85,Xi_Sib_Iron_2.98_66.7_184.5_85,0.8491456306,1,Iron,2.9835639980705237,66.68968956804646,184.536133902255,Sib
86,Xi_Sib_Proton_0.196_81.7_202.5_86,0.1424297420,1,Proton,0.1959406202569617,81.65617875390065,202.50170443182927,Sib
87,Xi_Sib_Iron_0.736_80.6_60.28_87,0.7216051702,1,Iron,0.7360443438237846,80.5618538189959,60.27785481227629,Sib
88,Xi_Sib_Proton_0.504_86.4_256.7_88,0.4714499312,1,Proton,0.5039911014917403,86.37680458565197,256.7069510500219,Sib
89,Xi_Sib_Iron_0.868_81.6_348.6_89,0.6086697382,1,Iron,0.8679484580201885,81.63139466192756,348.6133270689048,Sib
90,Xi_Sib_Proton_3.71_62.7_119.9_90,0.7379908242,1,Proton,3.7067278766435505,62.669643294362686,119.86681813281439,Sib
91,Xi_Sib_Iron_2.02_84.1_140.8_91,0.5862434015,1,Iron,2.0245367100612888,84.06645102157599,140.78073093806123,Sib
92,Xi_Sib_Proton_1.06_78.6_15.28_92,0.2143960321,1,Proton,1.0587912879813564,78.55530798827215,15.276872388953034,Sib
93,Xi_Sib_Iron_3.79_86.1_206.8_93,0.7976305747,1,Iron,3.785314784305227,86.14912330993283,206.84006261506246,Sib
94,Xi_Sib_Proton_0.0546_68.8_182.5_94,0.5884949128,1,Proton,0.05464667812670577,68.83715791209293,182.53638792500172,Sib
95,Xi_Sib_Iron_0.0856_57.1_264.8_95,0.2433130918,1,Iron,0.08555620772589381,57.12625161383828,264.8188143941043,Sib
